Date,Video Title,External Video ID,Video Length,Thumbnail link,Views,Video Likes Added,Video Dislikes Added,Video Likes Removed,User Subscriptions Added,User Subscriptions Removed,Average View Percentage,Average Watch Time,User Comments Added
23 Jun 2021,#66DaysOfData - 3 Reasons to Start!,sICJ6a2wX5g,53,https://i.ytimg.com/vi/sICJ6a2wX5g/hqdefault.jpg,104,7,0,0,1,0,0.6225585994194485,32.99560576923077,0
23 Jun 2021,Don't Buy My Course..,iGUiLWFDWfk,523,https://i.ytimg.com/vi/iGUiLWFDWfk/hqdefault.jpg,1,0,0,0,0,0,0.1141491395793499,59.7,0
23 Jun 2021,Collision Course: Sports Betting + Data Science,DopikusDfk0,355,https://i.ytimg.com/vi/DopikusDfk0/hqdefault.jpg,16,0,0,0,0,0,0.3714975352112676,131.881625,0
23 Jun 2021,Predicting Crypto-Currency Price Using RNN lSTM & GRU,qfRhKHV8-t4,311,https://i.ytimg.com/vi/qfRhKHV8-t4/hqdefault.jpg,7,0,0,0,0,0,0.26560312356453836,82.60257142857142,0
23 Jun 2021,How to Simulate NBA Games in Python,irjTWNV0eAY,556,https://i.ytimg.com/vi/irjTWNV0eAY/hqdefault.jpg,18,1,0,0,0,0,0.18227018385291766,101.34222222222223,0
23 Jun 2021,My Top 5 Data Science Resources for 2019,tv1e22u2COk,351,https://i.ytimg.com/vi/tv1e22u2COk/hqdefault.jpg,1,0,0,0,0,0,0.019943019943019943,7,0
23 Jun 2021,Data Science Fundamentals: Data Cleaning in Python,4yI3vVe0Jos,2084,https://i.ytimg.com/vi/4yI3vVe0Jos/hqdefault.jpg,16,0,0,0,0,0,0.20401358565259117,425.1643125,0
23 Jun 2021,I Wish I Had Known THIS Before Starting in Data Science,Z_KFh-HqaBA,538,https://i.ytimg.com/vi/Z_KFh-HqaBA/hqdefault.jpg,8,2,0,0,0,0,0.31704112453531597,170.568125,0
23 Jun 2021,Golf STATS: Strokes Gained Explained,3cDM9Z-fdz4,575,https://i.ytimg.com/vi/3cDM9Z-fdz4/hqdefault.jpg,7,0,0,0,0,0,0.36509813664596275,209.93142857142857,0
23 Jun 2021,Data Science Resume Round-Up With @Tina Huang  - Episode 1,Ft4GVkQQtgk,1471,https://i.ytimg.com/vi/Ft4GVkQQtgk/hqdefault.jpg,13,0,0,0,0,0,0.19505192699890184,286.9213846153846,0
23 Jun 2021,Reviewing Your Data Science Projects - Episode 8 (College Student Help),WnB1jsDu900,685,https://i.ytimg.com/vi/WnB1jsDu900/hqdefault.jpg,1,0,0,0,0,0,0.015937226277372263,10.917,0
23 Jun 2021,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],4qZINLzwYyk,2269,https://i.ytimg.com/vi/4qZINLzwYyk/hqdefault.jpg,5,0,0,0,0,0,0.006894579109739974,15.643799999999999,0
23 Jun 2021,How I Would Learn Data Science (If I Had to Start Over),4OZip0cgOho,516,https://i.ytimg.com/vi/4OZip0cgOho/hqdefault.jpg,1289,38,3,1,31,0,0.3518069908768891,181.53240729247477,0
23 Jun 2021,Where YOU Should Start With Data Science Projects,sq5TnVJWv6A,467,https://i.ytimg.com/vi/sq5TnVJWv6A/hqdefault.jpg,18,0,0,0,0,0,0.16965643587913395,79.22955555555556,0
23 Jun 2021,The Best Computer for Data Science Beginners,QQLToUlgN7A,395,https://i.ytimg.com/vi/QQLToUlgN7A/hqdefault.jpg,31,1,0,0,1,0,0.38349326255614535,151.4798387096774,0
23 Jun 2021,How to ULTRALEARN Data Science,a3VWq9smqhM,459,https://i.ytimg.com/vi/a3VWq9smqhM/hqdefault.jpg,34,4,0,0,1,0,0.27113904908368575,124.45282352941176,0
23 Jun 2021,5 Sports Analytics Books to Get You Started,74Z3F7i4qcI,428,https://i.ytimg.com/vi/74Z3F7i4qcI/hqdefault.jpg,6,2,0,0,1,0,0.2388271028037383,102.218,0
23 Jun 2021,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),KQ80oD_boBM,2191,https://i.ytimg.com/vi/KQ80oD_boBM/hqdefault.jpg,33,2,0,0,0,0,0.23037098045724244,504.74281818181817,0
23 Jun 2021,How to Go From Data Analyst to Data Scientist,EMq4PH7PCeA,403,https://i.ytimg.com/vi/EMq4PH7PCeA/hqdefault.jpg,75,1,0,0,3,0,0.5035554342431762,202.93284,0
23 Jun 2021,Discouraged with Data Science? - Watch THIS video.,7JCterBrcvk,644,https://i.ytimg.com/vi/7JCterBrcvk/hqdefault.jpg,52,4,0,0,1,0,0.3846181318681319,247.69407692307692,0
23 Jun 2021,How to Stay Productive & Motivated When Learning Data Science,akbU9KOo_Qc,672,https://i.ytimg.com/vi/akbU9KOo_Qc/hqdefault.jpg,10,2,0,0,0,0,0.23730610119047618,159.4697,0
22 Jun 2021,Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,1167,34,1,0,29,1,0.40812235445140327,211.40737960582692,0
22 Jun 2021,My First Data Science Contracting Side-Gig (How I Did It),6tQtwqthUMI,535,https://i.ytimg.com/vi/6tQtwqthUMI/hqdefault.jpg,16,1,0,0,0,0,0.5008476635514019,267.9535,0
22 Jun 2021,Why You're Struggling to Learn Data Science,XjC3FPL-S78,375,https://i.ytimg.com/vi/XjC3FPL-S78/hqdefault.jpg,2,0,0,0,0,0,0.9883746666666666,370.6405,0
22 Jun 2021,5 Unusual Data Science Projects that Will Land You a Job,d6FeV8WXPWY,299,https://i.ytimg.com/vi/d6FeV8WXPWY/hqdefault.jpg,6,0,0,0,0,0,0.5434102564102564,162.47966666666667,0
22 Jun 2021,What is Pandas? (Data & Data Science) #shorts,8Pi36Nj6P9A,59,https://i.ytimg.com/vi/8Pi36Nj6P9A/hqdefault.jpg,6,0,0,0,0,0,0.5121525423728813,30.217,0
22 Jun 2021,Why I'm Starting Data Science Over Again.,uXLnbdHMf8w,467,https://i.ytimg.com/vi/uXLnbdHMf8w/hqdefault.jpg,24,0,0,0,1,0,0.30776427551748753,143.72591666666668,0
22 Jun 2021,Where to Start Learning Data Science,AqPquogHwq0,268,https://i.ytimg.com/vi/AqPquogHwq0/hqdefault.jpg,15,0,0,0,0,0,0.6845539800995025,183.4604666666667,0
22 Jun 2021,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,-pdXWmj9xxU,866,https://i.ytimg.com/vi/-pdXWmj9xxU/hqdefault.jpg,12,0,0,0,0,0,0.14579782525019244,126.26091666666667,0
22 Jun 2021,Data Science Project from Scratch - Part 3 (Data Cleaning),fhi4dOhmW-g,2632,https://i.ytimg.com/vi/fhi4dOhmW-g/hqdefault.jpg,93,0,0,0,0,0,0.13616700575219792,358.39155913978493,0
22 Jun 2021,My Regrets as a Data Science Student,hcHSSyHbgMQ,495,https://i.ytimg.com/vi/hcHSSyHbgMQ/hqdefault.jpg,22,0,0,0,0,0,0.3083833792470156,152.64977272727273,0
22 Jun 2021,The 4 Types of Sports Analytics Projects,dlZWB2D-NaQ,424,https://i.ytimg.com/vi/dlZWB2D-NaQ/hqdefault.jpg,30,1,0,0,1,0,0.48145919811320753,204.1387,0
