Video Title,External Video ID,Video Length,Thumbnail link,Country Code,Is Subscribed,Views,Video Likes Added,Video Dislikes Added,Video Likes Removed,User Subscriptions Added,User Subscriptions Removed,Average View Percentage,Average Watch Time,User Comments Added
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,RO,true,64,7,0,0,8,0,0.560726743484556,290.456453125,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,CW,false,6,0,0,0,0,0,0.38407271557271555,198.94966666666667,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,AU,false,1493,18,0,3,0,0,0.45810061884676756,237.2961205626256,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,BE,false,276,4,0,0,0,0,0.4446883778188126,230.34857971014492,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,PS,true,3,0,0,0,2,0,0.5679350064350064,294.19033333333334,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,CA,true,824,54,1,1,72,1,0.4874446878397121,252.49634830097088,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,RW,false,38,3,0,0,0,0,0.6194357346067872,320.86771052631576,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,NO,true,52,1,0,0,3,0,0.6591375111375112,341.43323076923076,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,MY,false,1187,27,3,0,0,0,0.44471845735493587,230.3641609098568,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,CR,false,155,3,0,0,0,0,0.4689672437414373,242.9250322580645,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,SK,true,18,0,1,0,2,0,0.44192031317031316,228.91472222222222,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,BH,true,8,0,0,0,0,0,0.33066795366795365,171.286,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,LK,true,46,7,0,0,8,0,0.5886631693805607,304.92752173913044,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,RE,false,10,0,0,0,0,0,0.3602859073359073,186.6281,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,DE,true,623,37,1,3,84,5,0.486593875691789,252.0556276083467,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,CH,true,72,5,0,0,11,1,0.4521130684255684,234.19456944444443,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,AW,true,1,0,0,0,0,0,0.9899729729729729,512.806,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,MR,true,2,1,0,0,0,0,0.48494208494208496,251.2,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,ML,true,2,0,0,0,0,0,0.10878378378378378,56.35,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,SA,false,476,12,0,2,0,0,0.3793164725349599,196.48593277310925,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,LR,false,5,1,0,0,0,0,0.545238223938224,282.4334,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,CD,true,1,0,0,0,1,0,0.9766409266409266,505.9,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,PK,true,232,25,0,1,23,2,0.47694549660497937,247.0577672413793,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,MF,false,1,0,0,0,0,0,0.992027027027027,513.87,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,KR,false,335,5,0,0,0,0,0.3899316890451219,201.98461492537314,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,VE,true,27,2,0,0,4,0,0.5762042042042042,298.4737777777778,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,IR,false,50,3,0,1,0,0,0.4925308108108108,255.13096000000002,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,SL,false,8,1,0,0,0,0,0.5719235038610039,296.256375,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,IQ,true,8,2,0,0,0,0,0.48885762548262546,253.22825,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,MX,false,1084,44,2,1,0,0,0.468295097878585,242.576860701107,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,TT,true,16,1,0,0,2,0,0.503355333011583,260.7380625,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,YE,false,11,0,0,0,0,0,0.42884099684099686,222.13963636363636,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,MT,true,7,0,0,0,1,0,0.6625603971318257,343.2062857142857,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,GD,false,6,0,0,0,0,0,0.5726943371943372,296.65566666666666,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,PA,false,64,3,1,0,0,0,0.5135313103281853,266.00921875,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,PR,true,20,0,0,0,1,0,0.39471090733590736,204.46025,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,AZ,false,85,3,0,0,0,0,0.36701998637292754,190.11635294117647,0
